lawyer_id,client_id,fee,date
LAW001,CLI01,500,2023-01-15
LAW002,CLI02,700,2023-02-20
LAW003,CLI03,550,2023-03-10
LAW004,CLI04,750,2023-04-05
LAW005,CLI05,800,2023-05-20
LAW006,CLI06,720,2023-06-15
LAW007,CLI07,670,2023-07-10
LAW008,CLI08,680,2023-08-25
LAW009,CLI09,710,2023-09-15
LAW010,CLI10,690,2023-10-10
LAW011,CLI11,520,2023-11-05
LAW012,CLI12,740,2023-12-20
LAW013,CLI13,560,2024-01-15
LAW014,CLI14,760,2024-02-10
LAW015,CLI15,810,2024-03-05
LAW016,CLI16,730,2024-04-20
LAW017,CLI17,680,2024-05-15
LAW018,CLI18,690,2024-06-10
LAW019,CLI19,720,2024-07-25
LAW020,CLI20,700,2024-08-15
LAW021,CLI21,750,2024-09-30
LAW022,CLI22,690,2024-10-25
LAW023,CLI23,780,2024-11-20
LAW024,CLI24,770,2024-12-15
LAW025,CLI25,720,2025-01-30
LAW026,CLI26,740,2025-02-25
LAW027,CLI27,800,2025-03-20
LAW028,CLI28,720,2025-04-15
LAW029,CLI29,760,2025-05-30
LAW030,CLI30,780,2025-06-25
LAW031,CLI31,790,2025-07-20
LAW032,CLI32,850,2025-08-15
LAW033,CLI33,770,2025-09-30
LAW034,CLI34,670,2025-10-25
LAW035,CLI35,740,2025-11-20
LAW036,CLI36,760,2026-01-30
LAW037,CLI37,680,2026-02-25
LAW038,CLI38,720,2026-03-20
LAW039,CLI39,780,2026-04-15
LAW040,CLI40,810,2026-05-30
LAW001,CLI41,750,2026-06-25
LAW002,CLI42,770,2026-07-20
LAW003,CLI43,750,2026-08-15
LAW004,CLI44,680,2026-09-30
LAW005,CLI45,760,2026-10-25
LAW006,CLI46,770,2026-11-20
LAW007,CLI47,710,2026-12-15
LAW008,CLI48,690,2027-01-30
LAW009,CLI49,720,2027-02-25
LAW010,CLI50,740,2027-03-20
LAW011,CLI51,810,2027-04-15
LAW012,CLI52,750,2027-05-30
LAW013,CLI53,780,2027-06-25
LAW014,CLI54,790,2027-07-20
LAW015,CLI55,770,2027-08-15
LAW016,CLI56,720,2027-09-30
LAW017,CLI57,760,2027-10-25
LAW018,CLI58,780,2027-11-20
LAW019,CLI59,790,2027-12-15
LAW020,CLI60,770,2028-01-30
LAW021,CLI61,720,2028-02-25
LAW022,CLI62,740,2028-03-20
LAW023,CLI63,800,2028-04-15
LAW024,CLI60,720,2028-05-30
LAW025,CLI61,740,2028-06-25
LAW026,CLI01,510,2028-07-20
LAW027,CLI02,720,2028-08-15
LAW028,CLI03,540,2028-09-30
LAW029,CLI04,760,2028-10-25
LAW030,CLI05,800,2028-11-20
LAW031,CLI06,720,2028-12-15
