lawyer_id,department_id,winning_rate
LAW001,DEP001,45
LAW002,DEP002,34
LAW003,DEP003,89
LAW004,DEP004,96
LAW005,DEP005,67
LAW006,DEP006,75
LAW007,DEP001,70
LAW008,DEP002,40
LAW009,DEP003,55
LAW010,DEP004,92
LAW011,DEP005,60
LAW012,DEP006,80
LAW013,DEP007,78
LAW014,DEP008,48
LAW015,DEP009,63
LAW016,DEP010,85
LAW017,DEP001,55
LAW018,DEP002,42
LAW019,DEP003,75
LAW020,DEP004,94
LAW021,DEP005,69
LAW022,DEP006,77
LAW023,DEP007,73
LAW024,DEP008,50
LAW025,DEP009,68
LAW026,DEP010,88
LAW027,DEP001,58
LAW028,DEP002,38
LAW029,DEP003,80
LAW030,DEP004,98
LAW031,DEP005,72
LAW032,DEP006,78
LAW033,DEP007,75
LAW034,DEP008,55
LAW035,DEP009,71
LAW036,DEP010,90
LAW037,DEP001,50
LAW038,DEP002,36
LAW039,DEP003,85
LAW040,DEP004,94
